Zebra-Tech BLE Version, 3.0.13
Download Location (lat/long), Unavailable
Time Zone, UTC
Download Time,06/10/2023 15:16:52
Moana Serial Number,161
Moana Firmware,MOANA-1.23
Protocol Version,2
Moana calibration date,04/05/2023
Reset Codes, 0x200105
Moana Battery (V),3.54
Max Lifetime Depth (dBar),364.7
Baseline(mBar),1021
Date,Time,Depth Decibar,Temperature C
06/10/2023,14:02:56,1.1,1.214
06/10/2023,14:03:04,2.2,0.836
06/10/2023,14:03:09,3.5,0.692
06/10/2023,14:03:13,4.8,0.651
06/10/2023,14:03:24,5.9,0.618
06/10/2023,14:03:29,7.3,0.442
06/10/2023,14:03:30,8.4,0.509
06/10/2023,14:03:32,10.0,0.563
06/10/2023,14:03:34,11.7,0.568
06/10/2023,14:03:38,12.8,0.576
06/10/2023,14:03:40,14.1,0.616
06/10/2023,14:03:41,15.1,0.637
06/10/2023,14:03:42,16.1,0.606
06/10/2023,14:03:44,17.1,0.551
06/10/2023,14:03:46,18.6,0.530
06/10/2023,14:03:48,19.7,0.547
06/10/2023,14:03:50,20.8,0.540
06/10/2023,14:03:52,22.1,0.517
06/10/2023,14:03:56,23.3,0.493
06/10/2023,14:04:02,24.3,0.483
06/10/2023,14:04:49,23.2,0.498
06/10/2023,14:05:10,22.2,0.505
06/10/2023,14:05:23,21.2,0.532
06/10/2023,14:05:33,20.1,0.548
06/10/2023,14:05:43,19.1,0.557
06/10/2023,14:05:51,18.1,0.541
06/10/2023,14:06:08,16.9,0.559
06/10/2023,14:06:20,15.8,0.574
06/10/2023,14:06:32,14.8,0.619
06/10/2023,14:06:48,13.7,0.651
06/10/2023,14:06:58,12.7,0.647
06/10/2023,14:07:08,11.7,0.595
06/10/2023,14:07:18,10.7,0.585
06/10/2023,14:07:32,9.6,0.578
06/10/2023,14:07:43,8.5,0.552
06/10/2023,14:07:56,7.4,0.501
06/10/2023,14:08:06,6.3,0.456
06/10/2023,14:08:21,5.2,0.478
06/10/2023,14:08:35,4.1,0.641
06/10/2023,14:08:50,3.1,0.439
06/10/2023,14:09:03,2.0,0.434
06/10/2023,14:09:11,0.9,0.543
06/10/2023,14:11:06,1.0,1.220
06/10/2023,14:11:21,0.0,1.205
06/10/2023,14:36:00,1.0,0.614
06/10/2023,14:36:07,2.5,0.527
06/10/2023,14:36:10,3.5,0.535
06/10/2023,14:36:13,4.6,0.435
06/10/2023,14:36:15,6.1,0.435
06/10/2023,14:36:17,7.4,0.431
06/10/2023,14:36:22,9.1,0.440
06/10/2023,14:36:28,10.3,0.469
06/10/2023,14:36:31,12.1,0.483
06/10/2023,14:36:33,13.8,0.497
06/10/2023,14:36:35,14.8,0.498
06/10/2023,14:36:38,15.8,0.494
06/10/2023,14:36:41,16.9,0.495
06/10/2023,14:37:23,15.9,0.496
06/10/2023,14:37:38,14.9,0.497
06/10/2023,14:37:47,13.8,0.501
06/10/2023,14:38:00,12.8,0.495
06/10/2023,14:38:11,11.8,0.494
06/10/2023,14:38:25,10.7,0.482
06/10/2023,14:38:41,9.7,0.455
06/10/2023,14:38:47,8.0,0.442
06/10/2023,14:38:49,6.3,0.441
06/10/2023,14:38:50,5.2,0.439
06/10/2023,14:38:52,3.2,0.469
06/10/2023,14:38:55,0.7,0.575
06/10/2023,14:38:57,-0.2,1.246
06/10/2023,14:39:22,1.1,0.904
06/10/2023,14:39:24,2.2,0.585
06/10/2023,14:39:26,3.4,0.565
06/10/2023,14:39:28,4.7,0.459
06/10/2023,14:39:30,5.9,0.452
06/10/2023,14:39:32,7.2,0.449
06/10/2023,14:39:34,8.3,0.444
06/10/2023,14:39:37,9.4,0.449
06/10/2023,14:39:40,10.5,0.468
06/10/2023,14:39:43,12.2,0.476
06/10/2023,14:39:44,13.5,0.496
06/10/2023,14:39:46,15.6,0.512
06/10/2023,14:39:47,16.6,0.508
06/10/2023,14:39:49,18.5,0.497
06/10/2023,14:39:52,19.8,0.497
06/10/2023,14:39:54,21.3,0.494
06/10/2023,14:40:04,20.2,0.496
06/10/2023,14:40:08,18.8,0.501
06/10/2023,14:40:10,17.6,0.497
06/10/2023,14:40:12,16.2,0.499
06/10/2023,14:40:15,14.6,0.511
06/10/2023,14:40:17,13.2,0.505
