date,time,depth_decibar,temp_c,reading
07/10/2023,18:48:04,0.7,0.876,1a
07/10/2023,18:48:06,1.8,0.365,1a
07/10/2023,18:48:08,3.4,0.288,1a
07/10/2023,18:48:11,4.9,0.247,1a
07/10/2023,18:48:12,6.1,0.247,1a
07/10/2023,18:48:16,7.8,0.224,1a
07/10/2023,18:48:19,9.4,0.263,1a
07/10/2023,18:48:21,10.8,0.248,1a
07/10/2023,18:48:23,12.2,0.260,1a
07/10/2023,18:48:25,13.8,0.252,1a
07/10/2023,18:48:27,15.3,0.326,1a
07/10/2023,18:48:29,16.8,0.411,1a
07/10/2023,18:48:31,18.2,0.420,1a
07/10/2023,18:48:34,19.4,0.423,1a
07/10/2023,18:48:45,18.3,0.424,1a
07/10/2023,18:48:49,16.6,0.421,1a
07/10/2023,18:48:51,15.1,0.315,1a
07/10/2023,18:48:52,14.1,0.300,1a
07/10/2023,18:48:54,12.4,0.367,1a
07/10/2023,18:48:56,11.0,0.307,1a
07/10/2023,18:48:58,9.7,0.275,1a
07/10/2023,18:49:00,8.3,0.265,1a
07/10/2023,18:49:02,7.0,0.282,1a
07/10/2023,18:49:04,5.7,0.258,1a
07/10/2023,18:49:20,4.1,0.286,1a
07/10/2023,18:49:23,2.8,0.274,1a
07/10/2023,18:49:26,1.7,0.224,1a
07/10/2023,18:49:29,0.2,0.210,1a
07/10/2023,18:50:26,0.9,0.270,1b
07/10/2023,18:50:28,2.6,0.244,1b
07/10/2023,18:50:29,3.8,0.260,1b
07/10/2023,18:50:31,5.0,0.225,1b
07/10/2023,18:50:33,6.9,0.222,1b
07/10/2023,18:50:35,8.3,0.243,1b
07/10/2023,18:50:40,10.3,0.325,1b
07/10/2023,18:50:42,11.4,0.364,1b
07/10/2023,18:50:44,12.4,0.377,1b
07/10/2023,18:50:47,14.0,0.413,1b
07/10/2023,18:50:49,15.2,0.420,1b
07/10/2023,18:50:51,16.4,0.422,1b
07/10/2023,18:51:09,17.8,0.423,1b
07/10/2023,18:51:11,19.6,0.422,1b
07/10/2023,18:51:13,20.8,0.422,1b
