Zebra-Tech BLE Version, 3.0.13
Download Location (lat/long), -53.17023,-70.90623
Time Zone, UTC
Download Time,09/10/2023 16:02:32
Moana Serial Number,161
Moana Firmware,MOANA-1.23
Protocol Version,2
Moana calibration date,04/05/2023
Reset Codes, 0x200105
Moana Battery (V),3.58
Max Lifetime Depth (dBar),364.7
Baseline(mBar),991
Date,Time,Depth Decibar,Temperature C
08/10/2023,21:14:17,1.2,0.907
08/10/2023,21:14:18,2.5,0.801
08/10/2023,21:14:20,3.7,0.708
08/10/2023,21:14:22,5.5,0.632
08/10/2023,21:14:24,7.0,0.511
08/10/2023,21:14:25,8.0,0.466
08/10/2023,21:14:27,9.3,0.436
08/10/2023,21:14:29,10.4,0.418
08/10/2023,21:14:31,12.5,0.412
08/10/2023,21:14:33,14.0,0.409
08/10/2023,21:14:35,16.2,0.406
08/10/2023,21:14:37,17.7,0.404
08/10/2023,21:14:38,18.8,0.403
08/10/2023,21:14:40,20.5,0.402
08/10/2023,21:14:42,21.7,0.401
08/10/2023,21:14:45,23.1,0.400
08/10/2023,21:14:47,24.1,0.400
08/10/2023,21:14:52,22.9,0.399
08/10/2023,21:14:54,20.7,0.401
08/10/2023,21:14:55,19.7,0.401
08/10/2023,21:14:57,18.5,0.402
08/10/2023,21:14:58,17.2,0.403
08/10/2023,21:14:59,16.0,0.405
08/10/2023,21:15:00,15.0,0.406
08/10/2023,21:15:02,13.5,0.407
08/10/2023,21:15:04,12.1,0.409
08/10/2023,21:15:06,10.2,0.411
08/10/2023,21:15:08,9.1,0.416
08/10/2023,21:15:10,8.0,0.444
08/10/2023,21:15:12,6.9,0.453
08/10/2023,21:15:15,5.4,0.552
08/10/2023,21:15:18,3.7,0.637
08/10/2023,21:15:20,2.5,0.755
08/10/2023,21:15:22,1.1,0.797
08/10/2023,21:15:24,0.0,1.081
08/10/2023,21:15:29,2.7,0.813
08/10/2023,21:15:30,4.8,0.681
08/10/2023,21:15:31,6.3,0.562
08/10/2023,21:15:32,7.8,0.479
08/10/2023,21:15:34,9.1,0.434
08/10/2023,21:15:37,10.2,0.420
08/10/2023,21:15:39,11.9,0.415
08/10/2023,21:15:41,13.8,0.411
08/10/2023,21:15:42,15.1,0.409
08/10/2023,21:15:43,16.1,0.408
08/10/2023,21:15:46,17.5,0.407
08/10/2023,21:15:50,18.7,0.403
08/10/2023,21:15:56,20.0,0.402
08/10/2023,21:15:59,21.5,0.402
08/10/2023,21:16:02,22.6,0.402
08/10/2023,21:16:04,23.7,0.401
08/10/2023,21:16:06,24.7,0.400
08/10/2023,21:16:13,23.0,0.402
08/10/2023,21:16:14,21.8,0.401
08/10/2023,21:16:15,20.7,0.402
08/10/2023,21:16:17,18.4,0.403
08/10/2023,21:16:18,17.1,0.404
08/10/2023,21:16:20,15.4,0.407
08/10/2023,21:16:21,14.4,0.408
08/10/2023,21:16:23,12.9,0.409
08/10/2023,21:16:25,11.9,0.411
08/10/2023,21:16:27,9.9,0.419
08/10/2023,21:16:30,8.4,0.431
08/10/2023,21:16:32,7.1,0.448
08/10/2023,21:16:34,5.2,0.515
08/10/2023,21:16:35,4.2,0.583
08/10/2023,21:16:37,2.6,0.708
08/10/2023,21:16:39,1.0,0.782
08/10/2023,21:16:41,0.0,0.954
09/10/2023,13:16:31,0.8,1.022
09/10/2023,13:16:34,2.0,1.023
09/10/2023,13:16:38,3.2,0.983
09/10/2023,13:16:41,4.5,0.866
09/10/2023,13:16:43,6.0,0.825
09/10/2023,13:16:45,7.2,0.816
09/10/2023,13:16:47,8.4,0.804
09/10/2023,13:16:50,9.6,0.806
09/10/2023,13:17:06,8.3,0.801
09/10/2023,13:17:09,6.4,0.814
09/10/2023,13:17:11,4.6,0.819
09/10/2023,13:17:13,3.0,0.927
09/10/2023,13:17:16,0.7,1.025
09/10/2023,13:17:37,2.5,1.033
09/10/2023,13:17:38,4.7,0.907
09/10/2023,13:17:39,7.1,0.840
09/10/2023,13:17:40,8.9,0.811
09/10/2023,13:17:45,10.0,0.804
09/10/2023,13:17:58,4.0,0.848
09/10/2023,13:18:03,1.0,1.045
09/10/2023,13:50:31,1.7,1.373
09/10/2023,13:50:32,3.0,1.360
09/10/2023,13:50:33,4.4,1.334
09/10/2023,13:50:36,5.4,1.324
09/10/2023,13:50:39,6.7,0.967
09/10/2023,13:50:44,5.5,1.224
09/10/2023,13:50:47,4.5,1.318
09/10/2023,13:50:49,2.8,1.357
09/10/2023,13:50:52,0.8,1.364
09/10/2023,13:51:09,2.0,1.377
09/10/2023,13:51:10,3.2,1.379
09/10/2023,13:51:11,5.0,1.341
09/10/2023,13:51:12,6.3,1.111
09/10/2023,13:51:18,4.9,1.257
09/10/2023,13:51:28,1.8,1.386
09/10/2023,13:51:31,0.6,1.391
09/10/2023,14:06:09,2.0,1.402
09/10/2023,14:06:10,3.5,1.370
09/10/2023,14:06:17,2.5,1.369
09/10/2023,14:06:22,0.4,1.421
09/10/2023,14:12:49,0.4,1.092
09/10/2023,14:12:51,3.5,1.094
09/10/2023,14:12:52,5.6,1.055
09/10/2023,14:12:53,7.0,1.046
09/10/2023,14:12:56,8.1,1.030
09/10/2023,14:13:02,9.3,0.866
09/10/2023,14:13:15,8.2,0.920
09/10/2023,14:13:17,7.0,1.028
09/10/2023,14:13:19,5.6,1.047
09/10/2023,14:13:21,4.2,1.025
09/10/2023,14:13:24,3.1,1.022
09/10/2023,14:13:29,1.1,1.030
09/10/2023,14:13:31,0.0,1.052
09/10/2023,14:13:37,3.4,1.033
09/10/2023,14:13:38,5.8,1.034
09/10/2023,14:13:39,7.9,1.035
09/10/2023,14:13:41,9.5,0.859
09/10/2023,14:13:43,10.6,0.799
09/10/2023,14:13:53,4.5,1.044
09/10/2023,14:13:58,1.3,1.046
09/10/2023,14:14:00,0.1,1.095
