date,time,depth_decibar,temp_c,reading
09/10/2023,13:16:31,0.8,1.022,1a
09/10/2023,13:16:34,2.0,1.023,1a
09/10/2023,13:16:38,3.2,0.983,1a
09/10/2023,13:16:41,4.5,0.866,1a
09/10/2023,13:16:43,6.0,0.825,1a
09/10/2023,13:16:45,7.2,0.816,1a
09/10/2023,13:16:47,8.4,0.804,1a
09/10/2023,13:16:50,9.6,0.806,1a
09/10/2023,13:17:06,8.3,0.801,1a
09/10/2023,13:17:09,6.4,0.814,1a
09/10/2023,13:17:11,4.6,0.819,1a
09/10/2023,13:17:13,3.0,0.927,1a
09/10/2023,13:17:16,0.7,1.025,1a
09/10/2023,13:17:37,2.5,1.033,1b
09/10/2023,13:17:38,4.7,0.907,1b
09/10/2023,13:17:39,7.1,0.840,1b
09/10/2023,13:17:40,8.9,0.811,1b
09/10/2023,13:17:45,10.0,0.804,1b
09/10/2023,13:17:58,4.0,0.848,1b
09/10/2023,13:18:03,1.0,1.045,1b
09/10/2023,13:50:31,1.7,1.373,2a
09/10/2023,13:50:32,3.0,1.360,2a
09/10/2023,13:50:33,4.4,1.334,2a
09/10/2023,13:50:36,5.4,1.324,2a
09/10/2023,13:50:39,6.7,0.967,2a
09/10/2023,13:50:44,5.5,1.224,2a
09/10/2023,13:50:47,4.5,1.318,2a
09/10/2023,13:50:49,2.8,1.357,2a
09/10/2023,13:50:52,0.8,1.364,2a
09/10/2023,13:51:09,2.0,1.377,2a
09/10/2023,13:51:10,3.2,1.379,2a
09/10/2023,13:51:11,5.0,1.341,2a
09/10/2023,13:51:12,6.3,1.111,2a
09/10/2023,13:51:18,4.9,1.257,2a
09/10/2023,13:51:28,1.8,1.386,2a
09/10/2023,13:51:31,0.6,1.391,2a
09/10/2023,14:06:09,2.0,1.402,3a
09/10/2023,14:06:10,3.5,1.370,3a
09/10/2023,14:06:17,2.5,1.369,3a
09/10/2023,14:06:22,0.4,1.421,3a
09/10/2023,14:12:49,0.4,1.092,4a
09/10/2023,14:12:51,3.5,1.094,4a
09/10/2023,14:12:52,5.6,1.055,4a
09/10/2023,14:12:53,7.0,1.046,4a
09/10/2023,14:12:56,8.1,1.030,4a
09/10/2023,14:13:02,9.3,0.866,4a
09/10/2023,14:13:15,8.2,0.920,4a
09/10/2023,14:13:17,7.0,1.028,4a
09/10/2023,14:13:19,5.6,1.047,4a
09/10/2023,14:13:21,4.2,1.025,4a
09/10/2023,14:13:24,3.1,1.022,4a
09/10/2023,14:13:29,1.1,1.030,4a
09/10/2023,14:13:31,0.0,1.052,4a
09/10/2023,14:13:37,3.4,1.033,4b
09/10/2023,14:13:38,5.8,1.034,4b
09/10/2023,14:13:39,7.9,1.035,4b
09/10/2023,14:13:41,9.5,0.859,4b
09/10/2023,14:13:43,10.6,0.799,4b
09/10/2023,14:13:53,4.5,1.044,4b
09/10/2023,14:13:58,1.3,1.046,4b
09/10/2023,14:14:00,0.1,1.095,4b
